*Time 	Charge
3.86542161864494E-5	-2.09393085042932E-9
3.86841504054229E-5	-2.09484804419148E-9
3.87166879108885E-5	-2.09573719480984E-9
3.87541184030115E-5	-2.09667895112832E-9
3.87932319697838E-5	-2.09760987071333E-9
3.88304118195538E-5	-2.10681810027943E-9
3.88652121659897E-5	-2.13519071209015E-9
3.88980708455799E-5	-2.15400311999985E-9
3.8930294454322E-5	-2.16569440689539E-9
3.89694131892751E-5	-2.17398143216397E-9
3.9019072470651E-5	-2.17960550950951E-9
3.90848136469105E-5	-2.18342840446303E-9
3.91740145634344E-5	-2.18620362072008E-9
3.92994021604416E-5	-2.21703477552696E-9
3.94893014026941E-5	-2.23269946882659E-9
3.98238527490998E-5	-2.31781091247974E-9
4.04929554419112E-5	-2.40441281616678E-9
4.18311608275341E-5	-2.62117519110199E-9
4.2981885389117E-5	-2.77866429180889E-9
4.45203244490214E-5	-3.00394409017497E-9
4.5966138800925E-5	-3.18012067511491E-9
4.72539812541191E-5	-3.31367793148355E-9
4.82578692878336E-5	-3.44497182569254E-9
5.00790426964136E-5	-3.65830187914905E-9
5.36971874953449E-5	-3.96670837467741E-9
5.85641646571088E-5	-4.35100137511994E-9
6.48688230318073E-5	-4.72012022703135E-9
6.95365639886463E-5	-4.97440522215829E-9
7.18906641695251E-5	-5.11205690657011E-9
7.40700813577236E-5	-5.24240533111294E-9
7.66517207955553E-5	-5.3352808698088E-9
7.74000706879134E-5	-5.38950998163156E-9
7.76892213958428E-5	-5.38094550809665E-9
7.77224859744369E-5	-5.37984794850783E-9
7.77704112168344E-5	-5.37824785287383E-9
7.77890897928503E-5	-5.37762203743278E-9
7.78077683688663E-5	-5.37699312665064E-9
7.78226299727248E-5	-5.37649145645227E-9
7.78364418147528E-5	-5.37603414842554E-9
7.78413634824796E-5	-5.37587177847632E-9
7.78441039357568E-5	-5.37578134283864E-9
7.78462559949575E-5	-5.37571031164096E-9
7.78483508982988E-5	-5.37564115652947E-9
7.78525407049815E-5	-5.37550281490085E-9
7.78600106778183E-5	-5.3752560539589E-9
7.78679749721572E-5	-5.37499208011195E-9
7.78743876856155E-5	-5.37477989508969E-9
7.78826620458046E-5	-5.37450658538067E-9
7.78941300681736E-5	-5.37412748077126E-9
7.79101337480122E-5	-5.37359834583151E-9
7.79347863344798E-5	-5.37278979608222E-9
7.79654705493553E-5	-5.37177974969306E-9
7.80019708042924E-5	-5.37057928245907E-9
7.80360287982385E-5	-5.36945637588853E-9
7.80687751074988E-5	-5.36837313781211E-9
7.80942423213918E-5	-5.36753646988765E-9
7.81215725473004E-5	-5.36665938370564E-9
7.81595508510749E-5	-5.36546113672687E-9
7.81988906282636E-5	-5.36425253259856E-9
7.82379956860966E-5	-5.36304873573816E-9
7.8275485445747E-5	-5.36189904646639E-9
7.83107781167749E-5	-5.3608161956166E-9
7.8344200858842E-5	-5.3597885897339E-9
7.83808393305145E-5	-5.35865961207434E-9
7.84227703817704E-5	-5.35736341727895E-9
7.8472113856221E-5	-5.38922645828078E-9
7.85329774131037E-5	-5.43278365836992E-9
7.85750103462674E-5	-5.45543418557451E-9
7.86124619486135E-5	-5.46925227320948E-9
7.8633880384287E-5	-5.47684923257096E-9
7.86524161534464E-5	-5.48083979262397E-9
7.86678129539227E-5	-5.48408727809528E-9
7.86749582366477E-5	-5.48739282601436E-9
7.86807185657181E-5	-5.49061313362546E-9
7.86847391691375E-5	-5.49302905309451E-9
7.86884474687877E-5	-5.49529765987674E-9
7.86911912760553E-5	-5.49681082794533E-9
7.86926005393448E-5	-5.49753057994778E-9
7.86952164368857E-5	-5.4988440639652E-9
7.86972864485161E-5	-5.49985828652019E-9
7.87002864485161E-5	-5.50130476730994E-9
7.87032344450543E-5	-5.50270497620057E-9
7.87077424223078E-5	-5.50480180877803E-9
7.87138502790465E-5	-5.50755090685895E-9
7.87250124915572E-5	-5.51226760819203E-9
7.87373746363712E-5	-5.51699117967724E-9
7.87615617928E-5	-5.52388031324114E-9
7.87938981897817E-5	-5.52997305242014E-9
7.88261963026222E-5	-5.53399982648432E-9
7.88659772816567E-5	-5.53635900771941E-9
7.89006031746851E-5	-5.53739776936122E-9
7.89311339659776E-5	-5.53763383143454E-9
7.89607905706893E-5	-5.53755273805544E-9
7.89913653969493E-5	-5.53718196372495E-9
7.90243382708783E-5	-5.53664531916372E-9
7.90592462661459E-5	-5.53585301701718E-9
7.90957176127336E-5	-5.53497186403519E-9
7.91330113184903E-5	-5.53390480368271E-9
7.91707863739725E-5	-5.53282986271711E-9
7.92161617640985E-5	-5.53140245810145E-9
7.92722951275219E-5	-5.52959238748951E-9
7.93442512264281E-5	-5.52718879649833E-9
7.9439669067403E-5	-5.52392939350189E-9
7.9572168592249E-5	-5.63899840097773E-9
7.97720809883651E-5	-5.66235930415209E-9
8.01257255687769E-5	-5.67356945240427E-9
8.08330147296003E-5	-5.77902850623667E-9
8.18264764631792E-5	-5.93527172195215E-9
8.28920861675962E-5	-6.18601729836132E-9
8.45222366378199E-5	-6.31206575953025E-9
8.62474952779248E-5	-6.62236693253175E-9
8.76277677959704E-5	-6.84917119573841E-9
8.86738876032703E-5	-6.95710278942898E-9
9.04109066281207E-5	-7.09945541345698E-9
9.38849446778217E-5	-7.54712462971822E-9
9.96546192640956E-5	-8.09666534540891E-9
0.00010736905012201	-8.6162826110942E-9
0.000110053535039796	-8.85336714868335E-9
0.000112220808156003	-8.93659650076515E-9
0.000114311102028936	-9.18893184120288E-9
0.000115121042559915	-9.12530260495391E-9
0.000115505647085071	-9.09200830073223E-9
0.000116274856135384	-9.1368555895086E-9
0.000116554761754273	-9.19139489305644E-9
0.000116574414231644	-9.20441306431527E-9
0.000116608410665113	-9.22484941248549E-9
0.000116623684955038	-9.23353398909785E-9
0.000116635790282972	-9.23910887777573E-9
0.000116644981277412	-9.24334234527397E-9
0.000116649712122536	-9.24552193456937E-9
0.000116653255114908	-9.2471543669521E-9
0.000116654255114908	-9.24761505121194E-9
0.000116656529453254	-9.24866301751359E-9
0.000116659078129946	-9.24983743859373E-9
0.000116664175483329	-9.25218641223167E-9
0.000116670848573917	-9.25526178037902E-9
0.000116678776853135	-9.25863272698581E-9
0.000116685888555516	-9.26077096800738E-9
0.000116695792668672	-9.26374910905592E-9
0.000116706522415811	-9.26697641124856E-9
0.000116717994656852	-9.27043204599172E-9
0.000116729661247917	-9.27394673533776E-9
0.000116752994430047	-9.28098715390619E-9
0.000116787461895142	-9.28749433779689E-9
0.000116821929360237	-9.29295941931288E-9
0.000116853103160313	-9.29686731627129E-9
0.000116874060136172	-9.29823508780368E-9
0.0001168977602826	-9.29978271701918E-9
0.000116922375828822	-9.30139873841054E-9
0.000116958699339053	-9.30189009137802E-9
0.000117000267202086	-9.30213094610087E-9
0.000117041214129658	-9.30213536700815E-9
0.000117080195386304	-9.300865057852E-9
0.000117116445796929	-9.29968751823002E-9
0.000117150168108195	-9.29825343029606E-9
0.000117185163480186	-9.29640073317069E-9
0.00011722538488584	-9.29426127843904E-9
0.000117272412953641	-9.29120814575059E-9
0.000117330280782856	-9.28741234189764E-9
0.000117378782402337	-9.2838862530947E-9
0.000117407658662453	-9.28179971414682E-9
0.000117429733165694	-9.2971097172054E-9
0.000117448402774285	-9.32447680536643E-9
0.000117463179934612	-9.34571777838018E-9
0.000117475418093593	-9.36191242167182E-9
0.000117486205955178	-9.37513631192157E-9
0.000117494577807347	-9.38471955634141E-9
0.000117501308023754	-9.39221537349697E-9
0.000117505573773169	-9.39769180097112E-9
0.000117508958234085	-9.4025041757107E-9
0.000117512213219765	-9.40737707233657E-9
0.000117513579614477	-9.40947526431326E-9
0.000117516143235745	-9.41345459625886E-9
0.000117518195480333	-9.41665574689288E-9
0.000117521195480333	-9.42065758312518E-9
0.000117524244374158	-9.42461723379224E-9
0.000117528940892117	-9.43060007785752E-9
0.000117535367861104	-9.43858536314464E-9
0.000117541638876033	-9.44619064436448E-9
0.000117553583711691	-9.46019792799578E-9
0.000117570707010242	-9.47436969289271E-9
0.000117594745707211	-9.49171011290962E-9
0.000117616904161578	-9.50265968834938E-9
0.0001176512980876	-9.51436770444141E-9
0.000117693948494931	-9.52050232817866E-9
0.000117731155668811	-9.52286954481544E-9
0.000117763178762817	-9.52319031955785E-9
0.000117792621011869	-9.5221267288831E-9
0.000117821068072325	-9.52071777397692E-9
0.000117850184109171	-9.51891351660122E-9
0.000117880858497505	-9.51668083076758E-9
0.00011791314653848	-9.51418273444111E-9
0.000117946678065924	-9.51146303862504E-9
0.000117983747880238	-9.50831417836045E-9
0.000118029408812804	-9.50437989173569E-9
0.000118086901625947	-9.49932436439852E-9
0.000118161157734105	-9.49270532523371E-9
0.000118260142172665	-9.48387481115446E-9
0.000118399421903578	-9.47144131607398E-9
0.000118615701885809	-9.4522078531522E-9
0.000119025829551748	-9.62261799471341E-9
0.000119846084883625	-9.6575537085381E-9
0.000121202401974971	-1.00642997591292E-8
0.000123400254648535	-1.01827143132319E-8
0.000125502857595855	-1.07639368956946E-8
0.000126699265500376	-1.08397728736078E-8
0.000127798441119597	-1.0894463225375E-8
0.000129779140226894	-1.12911524328777E-8
0.000133740538441489	-1.18784946317216E-8
0.000140661414355285	-1.23001997996291E-8
0.000145804709095775	-1.28987107567097E-8
0.000148362448628235	-1.28699989375406E-8
0.000150745937188771	-1.31916394297505E-8
0.000153467967601552	-1.32804418991104E-8
0.000154285357301456	-1.34999653949856E-8
0.000154350174197276	-1.35934463084108E-8
0.000154479807988917	-1.3692010074932E-8
0.000154488274844342	-1.36960498853907E-8
0.0001545005818465	-1.37009394264924E-8
0.000154512888848658	-1.37036931587078E-8
0.000154523494831327	-1.37060694219694E-8
0.000154533293002567	-1.3708267288726E-8
0.000154537960268986	-1.3709314544458E-8
0.00015454157284203	-1.37101251869239E-8
0.000154542774215108	-1.37103947764272E-8
0.000154545221663814	-1.37109441853433E-8
0.000154548034994974	-1.37115760546943E-8
0.00015455335264727	-1.37127704338216E-8
0.000154560282655408	-1.37143270379506E-8
0.000154566679120347	-1.3714997259465E-8
0.000154575301627293	-1.37157379127308E-8
0.000154584383706176	-1.37165307652858E-8
0.000154597175070685	-1.37176501241798E-8
0.000154615122260607	-1.37248186350364E-8
0.000154632365639317	-1.37446562303581E-8
0.000154650198959853	-1.37638228202295E-8
0.000154664671013644	-1.37770161523871E-8
0.00015468238647728	-1.37912066287952E-8
0.000154704827398373	-1.38061612237651E-8
0.000154729568273757	-1.38186274305111E-8
0.000154756204885737	-1.38272334563582E-8
0.000154786648693559	-1.38325926292114E-8
0.000154814396179027	-1.38357519810267E-8
0.00015485390664207	-1.38370299477695E-8
0.00015489563300276	-1.38355283157067E-8
0.000154935701180698	-1.38325053208898E-8
0.00015497357333245	-1.38288384019051E-8
0.000155008733991407	-1.38250233968921E-8
0.000155041630344548	-1.38211022919143E-8
0.000155077541310342	-1.38166417995305E-8
0.000155118701557264	-1.38114042912587E-8
0.000155167391903517	-1.38051317101249E-8
0.000155227801699697	-1.37970879330778E-8
0.000155270029454131	-1.37914162382934E-8
0.000155304282200779	-1.37868050887054E-8
0.000155325063740313	-1.3783997670054E-8
0.000155343133155585	-1.37815286020218E-8
0.000155358572771875	-1.37794179766442E-8
0.000155366048442079	-1.37815917457378E-8
0.000155372191671955	-1.37843951644243E-8
0.000155378387669602	-1.37876331441454E-8
0.000155382055259701	-1.37896022484857E-8
0.000155384100829335	-1.37906873165777E-8
0.000155385646759941	-1.37914911522013E-8
0.000155388019684073	-1.37926879353836E-8
0.000155390019684073	-1.37936480338765E-8
0.000155392019684073	-1.37945754107775E-8
0.000155396019684073	-1.37963585762955E-8
0.000155403189486982	-1.37993422154514E-8
0.000155413240364143	-1.38030813400747E-8
0.000155431458725129	-1.38085123551121E-8
0.000155456122477217	-1.38132291015362E-8
0.000155492185045892	-1.38158334157859E-8
0.000155529373906094	-1.38149717697566E-8
0.000155574738915269	-1.38112644392938E-8
0.000155611721713479	-1.38070517680845E-8
0.000155642275616522	-1.38031677315274E-8
0.000155669438561446	-1.37995759691207E-8
0.000155694735938105	-1.37961711573186E-8
0.000155720062189711	-1.37927344162953E-8
0.000155746831390076	-1.37890872198654E-8
0.000155775642643604	-1.37851516478031E-8
0.000155810703477787	-1.3780352989398E-8
0.000155855411945173	-1.37742241182596E-8
0.000155913001983735	-1.37663505789802E-8
0.000155987952317033	-1.37560988347047E-8
0.000156088009705635	-1.37423970083874E-8
